station_name,longitude,latitude,city,open_date,owner_type_code,fuel_type_code
CHASE CENTER STATION 6,-122.386531,37.769084,San Francisco,2024-01-12,,ELEC
CHASE CENTER STATION 5,-122.386595,37.769109,San Francisco,2024-01-12,,ELEC
CHASE CENTER GSWCC-STATION3,-122.386509,37.769118,San Francisco,2024-01-12,,ELEC
CHASE CENTER STATION 4,-122.386509,37.769084,San Francisco,2024-01-12,,ELEC
CHASE CENTER GSWCC-STATION13,-122.386466,37.769092,San Francisco,2024-01-13,,ELEC
CHASE CENTER GSWCC-STATION11,-122.386498,37.769126,San Francisco,2024-01-13,,ELEC
CHASE CENTER STATION 15,-122.386541,37.769109,San Francisco,2024-01-13,,ELEC
CHASE CENTER STATION 17,-122.386531,37.769118,San Francisco,2024-01-13,,ELEC
CHASE CENTER STATION 11,-122.386552,37.769084,San Francisco,2024-01-13,,ELEC
CHASE CENTER STATION 20,-122.386573,37.769118,San Francisco,2024-01-13,,ELEC
CHASE CENTER GSWCC-STATION1,-122.386509,37.769126,San Francisco,2024-01-13,,ELEC
CHASE CENTER GSWCC-STATION10,-122.386563,37.769135,San Francisco,2024-01-13,,ELEC
HILLS PLAZA HP EV 2,-122.389882,37.789776,San Francisco,2024-01-25,,ELEC
HILLS PLAZA HP EV 1,-122.389885,37.789815,San Francisco,2024-01-25,,ELEC
ACE Parking,-122.412238,37.7783901,San Francisco,2015-03-26,,ELEC
VENUE 2,-122.391181,37.773308,San Francisco,2024-02-15,,ELEC
VENUE 1,-122.391227,37.773302,San Francisco,2024-02-15,,ELEC
SFSTATE LOT 02 20,-122.475978,37.721019,San Francisco,2024-02-29,,ELEC
SFSTATE LOT 02 21,-122.476185,37.721041,San Francisco,2024-03-02,,ELEC
CCSF-SFMTA SUTTER 6,-122.40682,37.789824,San Francisco,2024-04-18,,ELEC
Columbia REIT - Parking Garage 650 California St,-122.4052731911553,37.79317661922026,San Francisco,2024-04-18,,ELEC
La Galleria Residences,-122.41255,37.78969,San Francisco,2023-05-15,P,ELEC
Potrero Center,-122.409502,37.7658228,San Francisco,2024-06-15,,ELEC
Kissing St Garage,-122.4152867,37.7719898,San Francisco,2024-07-11,,ELEC
Volvo San Francisco,-122.4159858,37.7720226,San Francisco,2024-07-11,,ELEC
Metro Cruise Services,-122.401927,37.805419,San Francisco,2024-07-23,,ELEC
501 SECOND 501 SECOND ST,-122.393015,37.783127,San Francisco,2024-08-23,,ELEC
Market Square,-122.41647,37.77712,San Francisco,2024-01-01,P,ELEC
Chargie - 11667,-122.43997,37.78465,San Francisco,2024-06-23,P,ELEC
Three Embarcadero Center 2,-122.3973611,37.7951389,San Francisco,2018-06-29,,ELEC
Ridge Reef Properties - Parking Lot,-122.418267,37.7475747,San Francisco,2023-03-07,,ELEC
GARAGE 1,-122.40364,37.794932,San Francisco,2024-09-27,,ELEC
GARAGE 2,-122.403639,37.794934,San Francisco,2024-09-27,,ELEC
Hotel Whitcomb - Tesla Destination,-122.41507,37.77805,San Francisco,2024-07-01,P,ELEC
Hyatt Regency SOMA - Tesla Destination,-122.403161,37.786604,San Francisco,2024-07-01,P,ELEC
Holiday Inn Express & Suites San Francisco Fishermans Wharf - Tesla Destination,-122.416436,37.806633,San Francisco,2024-07-01,P,ELEC
Luma Hotel - Tesla Destination,-122.3902,37.77466,San Francisco,2024-07-01,P,ELEC
Galleria Park Hotel - Tesla Destination,-122.403558,37.789651,San Francisco,2024-07-01,P,ELEC
The Linden,-122.41022585,37.65439917,San Francisco,2024-10-17,,ELEC
CHASE CENTER GSWCC-STATION2,-122.386498,37.769143,San Francisco,2024-12-05,,ELEC
CHASE CENTER GOLDEN ST 40,-122.386531,37.769109,San Francisco,2024-12-05,,ELEC
CHASE CENTER GSWCC-STATION6,-122.386573,37.769135,San Francisco,2024-12-05,,ELEC
CHASE CENTER GOLDEN ST 5,-122.38652,37.76905,San Francisco,2024-12-05,,ELEC
CHASE CENTER GSWCC-STATION12,-122.386488,37.769101,San Francisco,2024-12-05,,ELEC
CHASE CENTER GSWCC-STATION5,-122.386531,37.769152,San Francisco,2024-12-05,,ELEC
CHASE CENTER GSWCC-STATION4,-122.38652,37.769143,San Francisco,2024-12-05,,ELEC
CHASE CENTER WARRIOR 1,-122.386509,37.769109,San Francisco,2024-12-05,,ELEC
CHASE CENTER GSWCC-STATION9,-122.386563,37.769126,San Francisco,2024-12-05,,ELEC
CHASE CENTER GOLDEN ST 10,-122.386734,37.769084,San Francisco,2024-12-05,,ELEC
CHASE CENTER GOLDENGW5,-122.386627,37.769092,San Francisco,2024-12-05,,ELEC
CHASE CENTER GSWCC-STATION8,-122.386531,37.769135,San Francisco,2024-12-05,,ELEC
CHASE CENTER GSWCC-STATION7,-122.386498,37.769135,San Francisco,2024-12-05,,ELEC
