Data_Year,Quarter,FUEL_TYPE,ZIP,Number of Vehicles
2010,NA,Electric,92808,2
2010,NA,Electric,92831,1
2010,NA,Electric,92868,1
2010,NA,Electric,92886,1
2010,NA,Electric,93021,2
2010,NA,Electric,93033,12
2010,NA,Electric,93063,1
2010,NA,Electric,93065,3
2010,NA,Electric,93101,1
2010,NA,Electric,93108,4
2010,NA,Electric,93109,1
2010,NA,Electric,93110,1
2010,NA,Electric,93619,1
2010,NA,Electric,93730,1
2010,NA,Electric,93923,1
2010,NA,Electric,93940,1
2010,NA,Electric,94002,1
2010,NA,Electric,94010,5
2010,NA,Electric,94018,1
2010,NA,Electric,94019,1
2010,NA,Electric,94022,13
2010,NA,Electric,94023,1
2010,NA,Electric,94024,9
2010,NA,Electric,94025,8
2010,NA,PHEV,94025,1
2010,NA,Electric,94027,7
2010,NA,Electric,94028,5
2010,NA,Electric,94040,1
2010,NA,Electric,94043,1
2010,NA,Electric,94062,6
2010,NA,Electric,94065,1
2010,NA,Electric,94066,2
2010,NA,Electric,94086,2
2010,NA,Electric,94087,4
2010,NA,Electric,94102,2
2010,NA,Electric,94105,1
2010,NA,Electric,94108,1
2010,NA,Electric,94109,3
2010,NA,Electric,94111,1
2010,NA,Electric,94115,2
2010,NA,Electric,94116,2
2010,NA,Electric,94118,1
2010,NA,Electric,94123,3
2010,NA,Electric,94130,1
2010,NA,Electric,94131,1
2010,NA,Electric,94133,2
2010,NA,Electric,94301,7
2010,NA,Electric,94303,3
2010,NA,Electric,94304,9
2010,NA,Electric,94305,1
2010,NA,Electric,94306,7
2010,NA,Electric,94404,2
2010,NA,Electric,94502,1
2010,NA,Electric,94526,1
2010,NA,Electric,94539,1
2010,NA,Electric,94549,4
2010,NA,Electric,94562,1
2010,NA,Electric,94563,4
2010,NA,Electric,94566,3
2010,NA,Electric,94574,1
2010,NA,Electric,94599,1
2010,NA,Electric,94605,1
2010,NA,Electric,94611,2
2010,NA,Electric,94618,1
2010,NA,Electric,94704,1
2010,NA,Electric,94707,2
2010,NA,Electric,94708,1
2010,NA,Electric,94901,2
2010,NA,Electric,94904,1
2010,NA,Electric,94920,2
2010,NA,Electric,94941,2
2010,NA,Electric,94946,1
2010,NA,Electric,94949,1
2010,NA,Electric,94955,1
2010,NA,Electric,94957,3
2010,NA,Electric,94960,1
2010,NA,Electric,94973,1
2010,NA,Electric,95003,1
2010,NA,Electric,95014,4
2010,NA,Electric,95018,2
2010,NA,Electric,95023,1
2010,NA,Electric,95030,4
2010,NA,Electric,95032,2
2010,NA,Electric,95035,1
2010,NA,Electric,95060,1
2010,NA,Electric,95070,5
2010,NA,Electric,95076,1
2010,NA,Electric,95077,1
2010,NA,Electric,95112,1
2010,NA,Electric,95118,1
2010,NA,Electric,95120,2
2010,NA,Electric,95128,2
2010,NA,Electric,95129,1
2010,NA,Electric,95134,1
2010,NA,Electric,95148,1
2010,NA,Electric,95377,1
2010,NA,Electric,95424,1
2010,NA,Electric,95441,1
2010,NA,Electric,95442,1
2010,NA,Electric,95472,2
2010,NA,Electric,95476,2
2010,NA,Electric,95501,1
2010,NA,Electric,95608,1
2010,NA,Electric,95624,1
2010,NA,Electric,95638,1
2010,NA,Electric,95640,1
2010,NA,Electric,95658,1
2010,NA,Electric,95747,1
2010,NA,Electric,95765,1
2010,NA,Electric,99999,9
2011,NA,Electric,90004,7
2011,NA,PHEV,90004,3
2011,NA,PHEV,90005,3
2011,NA,Electric,90006,1
2011,NA,Electric,90007,1
2011,NA,PHEV,90008,1
2011,NA,Electric,90010,1
2011,NA,PHEV,90010,2
2011,NA,Electric,90012,4
2011,NA,PHEV,90012,1
2011,NA,PHEV,90014,1
2011,NA,Electric,90015,2
2011,NA,Electric,90016,3
2011,NA,Electric,90017,2
2011,NA,Electric,90018,5
2011,NA,PHEV,90018,2
2011,NA,Electric,90019,8
2011,NA,PHEV,90019,4
2011,NA,Electric,90020,5
2011,NA,PHEV,90020,1
2011,NA,Electric,90021,2
2011,NA,PHEV,90021,1
2011,NA,Electric,90022,1
2011,NA,Electric,90023,1
2011,NA,Electric,90024,13
2011,NA,PHEV,90024,8
2011,NA,Electric,90025,2
2011,NA,PHEV,90025,3
2011,NA,Electric,90026,5
2011,NA,PHEV,90026,1
2011,NA,Electric,90027,7
2011,NA,PHEV,90027,6
2011,NA,Electric,90028,1
2011,NA,PHEV,90028,1
2011,NA,Electric,90031,1
2011,NA,Electric,90032,2
2011,NA,PHEV,90032,1
2011,NA,Electric,90034,11
2011,NA,PHEV,90034,2
2011,NA,Electric,90035,7
2011,NA,PHEV,90035,1
2011,NA,Electric,90036,1
2011,NA,PHEV,90036,5
2011,NA,Electric,90039,8
